,molecule,basis,bound 1,bound 2,exact
0,H,6-31g,1.143235060422516,0.8231600191917574,1.1432350604204544
1,H (large basis set),aug-cc-pvtz,0.2923707359605052,0.15006656058555562,0.2923707363760814
2,H$_2^+$,6-31g,1.2505250072881902,0.7677473648476774,1.2505250073015173
3,H$_2$,6-31g,1.1462278396465062,0.9732873290409755,1.434804395729061
4,Li,6-31g,7.206487851972585,7.146008397484065,7.384004921797617
5,LiH,6-31g,7.669143038065981,7.613864904445664,7.976373402594689
6,water,sto-3g,57.577183093681846,57.44611503332586,75.55308572181312
7,O$_2$,sto-3g,113.21148751394875,113.16318924738079,146.5827539601933
8,NO,sto-3g,99.28629337240687,99.2023247126381,126.55137554967114
9,He,6-31g,4.1573415205815785,3.4621928342976163,4.649976174481001
10,Ne,6-31g,90.15097285724997,90.09678750772188,130.12137944786852
